cycle,send_rate,sent,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity
219,2.9574880822324108,2.9574880822324108,3.0,2.9574571221309807,130.12587448608187,65.063768186809,0.0,2.95752364334203,2.9574571221309807,2.9572863162816496,2.9572094845299883,False,False,False
220,2.9574825102783624,2.9574825102783624,3.0,2.9574684464345995,130.12615565397374,65.06398882296294,0.0,2.9575236728165715,2.9574684464345995,2.9573030366626387,2.957201342386503,False,False,False
221,2.9574768869205252,2.9574768869205252,3.0,2.9574787386195602,130.1264352553099,65.06419164146648,0.0,2.957522857159211,2.9574787386195602,2.957320038655672,2.957197285584343,False,False,False
222,2.957471294893802,2.957471294893802,3.0,2.9574879707367394,130.12670928910597,65.06437578801396,0.0,2.9575212532445625,2.9574879707367394,2.9573371066970764,2.957197261097724,False,False,False
223,2.9574658142178807,2.9574658142178807,3.0,2.957496125994511,130.1269743658787,65.06454066214327,0.0,2.9575189222208618,2.957496125994511,2.9573540480915397,2.957200737445138,False,False,False
224,2.9574605126824256,2.9574605126824256,3.0,2.9575031979644404,130.1272276555975,65.06468589951358,0.0,2.9575159290586153,2.9575031979644404,2.9573706916883107,2.9572072229636417,False,False,False
225,2.95745544688805,2.95745544688805,3.0,2.957509189824805,130.127466838715,65.06481135502173,0.0,2.95751234212342,2.957509189824805,2.9573868866152657,2.957216263770545,False,False,False
226,2.9574506632257,2.9574506632257,3.0,2.957514113640467,130.12769006013175,65.06491708672499,0.0,2.957508232771951,2.957514113640467,2.9574025010687053,2.9572274418089552,False,False,False
227,2.957446198797365,2.957446198797365,3.0,2.9575179896776786,130.12789588595493,65.06500334053835,0.0,2.9575036749701553,2.9575179896776786,2.957417421156789,2.957240372974186,False,False,False
228,2.9574420822809016,2.9574420822809016,3.0,2.9575208457524487,130.1280832629177,65.06507053567647,0.0,2.9574987449327392,2.9575208457524487,2.957431549794614,2.9572547053181086,False,False,False
229,2.957438334741646,2.957438334741646,3.0,2.9575227166111415,130.1282514803307,65.06511925081053,0.0,2.957493520783036,2.9575227166111415,2.9574448056489797,2.957270117328641,False,False,False
230,2.9574349703933858,2.9574349703933858,3.0,2.95752364334203,130.12840013444244,65.06515021091197,0.0,2.9574880822324108,2.95752364334203,2.9574571221309807,2.9572863162816496,False,False,False
231,2.957431997311151,2.957431997311151,3.0,2.9575236728165715,130.12852909509095,65.06516427475573,0.0,2.9574825102783624,2.9575236728165715,2.9574684464345995,2.9573030366626387,False,False,False
232,2.957429418098181,2.957429418098181,3.0,2.957522857159211,130.12863847453346,65.0651624230567,0.0,2.9574768869205252,2.957522857159211,2.9574787386195602,2.957320038655672,False,False,False
233,2.9574272305093308,2.9574272305093308,3.0,2.9575212532445625,130.1287285983457,65.06514574721378,0.0,2.957471294893802,2.9575212532445625,2.9574879707367394,2.9573371066970764,False,False,False
234,2.957425428033086,2.957425428033086,3.0,2.9575189222208618,130.12879997828725,65.06511543543715,0.0,2.9574658142178807,2.9575189222208618,2.957496125994511,2.9573540480915397,False,False,False
235,2.957424000434255,2.957424000434255,3.0,2.9575159290586153,130.1288532870332,65.06507275015514,0.0,2.9574605126824256,2.9575159290586153,2.9575031979644404,2.9573706916883107,False,False,False
236,2.957422934259336,2.957422934259336,3.0,2.95751234212342,130.12888933467727,65.06501900721838,0.0,2.95745544688805,2.95751234212342,2.957509189824805,2.9573868866152657,False,False,False
237,2.9574222133064545,2.9574222133064545,3.0,2.957508232771951,130.128909046915,65.06495555680361,0.0,2.9574506632257,2.957508232771951,2.957514113640467,2.9574025010687053,False,False,False
238,2.9574218190617,2.9574218190617,3.0,2.9575036749701553,130.12891344481991,65.0648837659233,0.0,2.957446198797365,2.9575036749701553,2.9575179896776786,2.957417421156789,False,False,False
239,2.9574217311036017,2.9574217311036017,3.0,2.9574987449327392,130.1289036261289,65.06480500245175,0.0,2.9574420822809016,2.9574987449327392,2.9575208457524487,2.957431549794614,False,False,False
240,2.957421927477422,2.957421927477422,3.0,2.957493520783036,130.12888074795734,65.06472062058226,0.0,2.957438334741646,2.957493520783036,2.9575227166111415,2.9574448056489797,False,False,False
241,2.957422385040853,2.957422385040853,3.0,2.9574880822324108,130.1288460108672,65.06463194763361,0.0,2.9574349703933858,2.9574880822324108,2.95752364334203,2.9574571221309807,False,False,False
242,2.957423079782656,2.957423079782656,3.0,2.9574825102783624,130.12880064421523,65.06454027212818,0.0,2.957431997311151,2.9574825102783624,2.9575236728165715,2.9574684464345995,False,False,False
243,2.9574239871156953,2.9574239871156953,3.0,2.9574768869205252,130.12874589271138,65.06444683306717,0.0,2.957429418098181,2.9574768869205252,2.957522857159211,2.9574787386195602,False,False,False
244,2.9574250821457726,2.9574250821457726,3.0,2.957471294893802,130.1286830041204,65.06435281033193,0.0,2.9574272305093308,2.957471294893802,2.9575212532445625,2.9574879707367394,False,False,False
245,2.9574263399175917,2.9574263399175917,3.0,2.9574658142178807,130.12861321804348,65.06425931614416,0.0,2.957425428033086,2.9574658142178807,2.9575189222208618,2.957496125994511,False,False,False
246,2.9574277356391305,2.9574277356391305,3.0,2.9574605126824256,130.12853775571818,65.0641673875198,0.0,2.957424000434255,2.9574605126824256,2.9575159290586153,2.9575031979644404,False,False,False
247,2.9574292448856365,2.9574292448856365,3.0,2.95745544688805,130.12845781077903,65.06407797965572,0.0,2.957422934259336,2.95745544688805,2.95751234212342,2.957509189824805,False,False,False
248,2.9574308437844197,2.9574308437844197,3.0,2.9574506632257,130.12837454092298,65.06399196019022,0.0,2.9574222133064545,2.9574506632257,2.957508232771951,2.957514113640467,False,False,False
249,2.9574325091815403,2.9574325091815403,3.0,2.957446198797365,130.12828906042682,65.06391010428176,0.0,2.9574218190617,2.957446198797365,2.9575036749701553,2.9575179896776786,False,False,False
